Index,Consistency,Taxa,Latitude,Obstype
127,1,Benthic cnidarians,Tropical,Calcification
128,1,Bony fish,Temperate,Distribution
129,1,Bony fish,Temperate,Distribution
130,1,Bony fish,Temperate,Distribution
131,1,Bony fish,Temperate,Distribution
132,1,Bony fish,Temperate,Distribution
133,1,Bony fish,Temperate,Distribution
134,1,Bony fish,Temperate,Distribution
135,1,Bony fish,Temperate,Distribution
136,1,Bony fish,Temperate,Distribution
137,1,Bony fish,Temperate,Distribution
138,1,Bony fish,Temperate,Distribution
139,1,Bony fish,Temperate,Distribution
140,1,Bony fish,Temperate,Distribution
141,1,Bony fish,Temperate,Distribution
142,1,Bony fish,Temperate,Distribution
143,1,Bony fish,Temperate,Distribution
144,1,Bony fish,Temperate,Distribution
145,1,Bony fish,Temperate,Distribution
146,1,Non-bony fish,Temperate,Distribution
147,1,Non-bony fish,Temperate,Distribution
148,1,Bony fish,Temperate,Distribution
149,1,Non-bony fish,Temperate,Distribution
150,1,Bony fish,Temperate,Distribution
151,1,Non-bony fish,Temperate,Distribution
152,1,Bony fish,Temperate,Distribution
153,1,Bony fish,Temperate,Distribution
154,1,Bony fish,Temperate,Distribution
155,1,Bony fish,Temperate,Distribution
158,1,Benthic algae,Temperate,Distribution
159,1,Bony fish,Temperate,Community change
160,1,Bony fish,Temperate,Distribution
161,1,Bony fish,Temperate,Distribution
162,1,Bony fish,Temperate,Distribution
163,1,Bony fish,Temperate,Distribution
164,1,Bony fish,Temperate,Distribution
165,1,Bony fish,Temperate,Distribution
166,1,Bony fish,Temperate,Distribution
167,1,Bony fish,Temperate,Distribution
168,1,Bony fish,Temperate,Distribution
169,1,Bony fish,Temperate,Distribution
170,1,Bony fish,Temperate,Distribution
171,1,Bony fish,Temperate,Distribution
172,1,Bony fish,Temperate,Distribution
173,1,Bony fish,Temperate,Distribution
174,1,Bony fish,Temperate,Distribution
175,1,Bony fish,Temperate,Distribution
176,1,Bony fish,Temperate,Distribution
177,1,Non-bony fish,Temperate,Distribution
178,1,Bony fish,Temperate,Distribution
179,1,Bony fish,Temperate,Distribution
180,1,Bony fish,Temperate,Distribution
181,1,Bony fish,Temperate,Distribution
182,1,Non-bony fish,Temperate,Distribution
183,1,Bony fish,Temperate,Distribution
184,1,Bony fish,Temperate,Distribution
185,1,Bony fish,Temperate,Distribution
186,1,Bony fish,Temperate,Distribution
187,1,Bony fish,Temperate,Distribution
188,1,Non-bony fish,Temperate,Distribution
189,1,Bony fish,Temperate,Distribution
190,1,Bony fish,Temperate,Distribution
191,1,Bony fish,Temperate,Distribution
192,1,Bony fish,Temperate,Distribution
193,1,Bony fish,Temperate,Distribution
194,1,Bony fish,Temperate,Distribution
226,0,Bony fish,Temperate,Distribution
227,0,Non-bony fish,Temperate,Distribution
228,0,Bony fish,Temperate,Distribution
229,0,Non-bony fish,Temperate,Distribution
230,0,Bony fish,Temperate,Distribution
231,0,Bony fish,Temperate,Distribution
232,0,Bony fish,Temperate,Distribution
233,1,Benthic molluscs,Temperate,Demography
234,1,Zooplankton,Temperate,Abundance
235,1,Benthic crustacea,Temperate,Phenology
237,1,Benthic cnidarians,Temperate,Calcification
238,1,Bony fish,Temperate,Abundance
239,1,Bony fish,Temperate,Abundance
240,1,Bony fish,Temperate,Abundance
241,1,Bony fish,Temperate,Abundance
242,1,Bony fish,Temperate,Abundance
243,1,Bony fish,Temperate,Abundance
244,1,Bony fish,Temperate,Abundance
245,1,Bony fish,Temperate,Abundance
246,1,Bony fish,Temperate,Abundance
247,1,Bony fish,Temperate,Abundance
248,1,Bony fish,Temperate,Abundance
249,1,Bony fish,Temperate,Abundance
326,0,Bony fish,Temperate,Abundance
327,0,Bony fish,Temperate,Abundance
328,0,Bony fish,Temperate,Abundance
329,1,Benthic crustacea,Temperate,Abundance
330,1,Bony fish,Temperate,Community change
333,1,Benthic molluscs,Temperate,Community change
334,1,Benthic molluscs,Temperate,Phenology
335,1,Benthic molluscs,Temperate,Distribution
336,1,Bony fish,Temperate,Phenology
337,1,Bony fish,Temperate,Phenology
338,1,Bony fish,Temperate,Distribution
339,1,Bony fish,Temperate,Abundance
340,1,Bony fish,Temperate,Abundance
341,1,Bony fish,Temperate,Abundance
342,1,Bony fish,Temperate,Abundance
343,1,Bony fish,Temperate,Abundance
344,1,Bony fish,Temperate,Abundance
345,1,Bony fish,Temperate,Abundance
346,1,Bony fish,Temperate,Abundance
347,1,Bony fish,Temperate,Abundance
348,1,Bony fish,Temperate,Abundance
349,1,Bony fish,Temperate,Abundance
350,1,Bony fish,Temperate,Abundance
351,1,Bony fish,Temperate,Abundance
352,1,Bony fish,Temperate,Abundance
353,1,Bony fish,Temperate,Abundance
354,1,Bony fish,Temperate,Community change
355,1,Bony fish,Subtropical,Distribution
357,1,Benthic molluscs,Temperate,Abundance
358,1,Benthic molluscs,Temperate,Distribution
359,1,Benthic crustacea,Temperate,Abundance
360,1,Benthic molluscs,Temperate,Abundance
361,1,Benthic molluscs,Temperate,Abundance
362,1,Benthic molluscs,Temperate,Distribution
363,1,Benthic molluscs,Temperate,Distribution
364,1,Zooplankton,Temperate,Abundance
365,1,Bony fish,Temperate,Abundance
366,1,Bony fish,Temperate,Abundance
367,1,Bony fish,Temperate,Abundance
368,1,Bony fish,Temperate,Abundance
369,1,Bony fish,Temperate,Abundance
370,1,Bony fish,Temperate,Abundance
371,1,Bony fish,Temperate,Abundance
372,1,Bony fish,Temperate,Abundance
373,1,Bony fish,Temperate,Abundance
374,1,Bony fish,Temperate,Abundance
375,1,Bony fish,Temperate,Abundance
379,0,Bony fish,Temperate,Abundance
380,1,Bony fish,Temperate,Abundance
381,1,Bony fish,Temperate,Abundance
382,1,Bony fish,Subtropical,Abundance
383,1,Bony fish,Temperate,Abundance
384,1,Bony fish,Temperate,Abundance
385,1,Bony fish,Temperate,Abundance
386,1,Bony fish,Temperate,Abundance
387,1,Bony fish,Temperate,Abundance
388,1,Bony fish,Temperate,Abundance
389,1,Bony fish,Temperate,Abundance
390,1,Bony fish,Subtropical,Distribution
391,1,Bony fish,Subtropical,Distribution
392,1,Bony fish,Subtropical,Distribution
393,1,Bony fish,Subtropical,Distribution
394,1,Bony fish,Subtropical,Distribution
395,1,Bony fish,Subtropical,Distribution
396,1,Bony fish,Subtropical,Distribution
397,1,Bony fish,Subtropical,Distribution
398,1,Bony fish,Subtropical,Distribution
399,1,Bony fish,Subtropical,Distribution
400,0,Bony fish,Subtropical,Distribution
401,0,Bony fish,Subtropical,Distribution
402,1,Benthic crustacea,Temperate,Abundance
403,1,Benthic crustacea,Subtropical,Demography
404,1,Zooplankton,Temperate,Phenology
405,1,Zooplankton,Temperate,Abundance
406,1,Phytoplankton,Temperate,Distribution
407,1,Benthic crustacea,Subtropical,Distribution
408,1,Bony fish,Temperate,Abundance
409,1,Bony fish,Temperate,Abundance
410,1,Bony fish,Temperate,Abundance
411,1,Bony fish,Temperate,Abundance
416,1,Bony fish,Subtropical,Community change
417,1,Bony fish,Subtropical,Abundance
418,1,Bony fish,Subtropical,Abundance
419,1,Bony fish,Subtropical,Abundance
420,1,Bony fish,Subtropical,Abundance
421,1,Bony fish,Subtropical,Abundance
422,1,Bony fish,Subtropical,Abundance
423,1,Bony fish,Subtropical,Abundance
424,1,Bony fish,Subtropical,Abundance
425,1,Bony fish,Subtropical,Abundance
426,1,Bony fish,Subtropical,Abundance
427,1,Bony fish,Subtropical,Abundance
428,1,Bony fish,Subtropical,Abundance
429,1,Bony fish,Subtropical,Abundance
430,1,Bony fish,Subtropical,Abundance
431,0,Bony fish,Subtropical,Abundance
432,0,Bony fish,Subtropical,Abundance
433,0,Bony fish,Subtropical,Abundance
434,1,Bony fish,Temperate,Abundance
435,1,Bony fish,Temperate,Abundance
436,1,Bony fish,Temperate,Abundance
437,1,Bony fish,Temperate,Abundance
449,0,Bony fish,Temperate,Abundance
450,0,Bony fish,Temperate,Abundance
451,1,Bony fish,Temperate,Abundance
452,1,Bony fish,Temperate,Abundance
453,1,Bony fish,Temperate,Abundance
454,1,Bony fish,Temperate,Abundance
455,1,Bony fish,Temperate,Abundance
456,1,Non-bony fish,Temperate,Abundance
457,1,Bony fish,Temperate,Abundance
458,1,Bony fish,Temperate,Abundance
482,0,Bony fish,Temperate,Abundance
483,0,Bony fish,Temperate,Abundance
484,1,Benthic cnidarians,Tropical,Calcification
485,1,Bony fish,Temperate,Community change
486,1,Bony fish,Temperate,Community change
487,1,Bony fish,Temperate,Community change
488,1,Bony fish,Temperate,Community change
489,1,Bony fish,Temperate,Demography
490,0,Bony fish,Temperate,Abundance
491,1,Bony fish,Temperate,Abundance
492,0,Bony fish,Temperate,Abundance
494,0,Bony fish,Temperate,Abundance
495,0,Benthic crustacea,Temperate,Abundance
496,0,Bony fish,Temperate,Abundance
497,1,Bony fish,Temperate,Abundance
498,1,Bony fish,Temperate,Abundance
501,1,Bony fish,Temperate,Abundance
502,0,Benthic crustacea,Temperate,Abundance
504,1,Bony fish,Temperate,Abundance
505,1,Bony fish,Temperate,Abundance
506,0,Non-bony fish,Temperate,Abundance
508,0,Bony fish,Temperate,Abundance
509,0,Bony fish,Temperate,Abundance
510,1,Bony fish,Temperate,Abundance
511,1,Bony fish,Temperate,Abundance
512,1,Benthic crustacea,Temperate,Abundance
513,1,Benthic crustacea,Temperate,Abundance
514,0,Benthic crustacea,Temperate,Abundance
515,1,Bony fish,Temperate,Community change
516,1,Bony fish,Temperate,Community change
517,0,Bony fish,Temperate,Community change
518,0,Bony fish,Temperate,Community change
519,1,Bony fish,Temperate,Demography
520,0,Bony fish,Temperate,Abundance
521,1,Bony fish,Temperate,Abundance
522,0,Bony fish,Temperate,Abundance
526,0,Bony fish,Temperate,Abundance
527,1,Bony fish,Temperate,Abundance
528,1,Bony fish,Temperate,Abundance
530,1,Bony fish,Temperate,Abundance
531,1,Bony fish,Temperate,Abundance
532,0,Benthic crustacea,Temperate,Abundance
533,1,Bony fish,Temperate,Abundance
534,1,Bony fish,Temperate,Abundance
535,1,Bony fish,Temperate,Abundance
536,0,Non-bony fish,Temperate,Abundance
538,0,Bony fish,Temperate,Abundance
539,0,Bony fish,Temperate,Abundance
540,1,Bony fish,Temperate,Abundance
541,1,Bony fish,Temperate,Abundance
542,1,Benthic crustacea,Temperate,Abundance
543,1,Benthic crustacea,Temperate,Abundance
544,0,Benthic crustacea,Temperate,Abundance
550,1,Bony fish,Temperate,Phenology
551,1,Bony fish,Temperate,Phenology
552,1,Bony fish,Temperate,Phenology
553,1,Bony fish,Temperate,Phenology
554,1,Bony fish,Temperate,Phenology
555,1,Bony fish,Temperate,Phenology
556,1,Larval bony fish,Temperate,Abundance
557,1,Benthic algae,Temperate,Distribution
558,1,Benthic molluscs,Temperate,Distribution
559,1,Benthic molluscs,Temperate,Distribution
561,1,Benthic crustacea,Temperate,Distribution
562,1,Benthic molluscs,Temperate,Phenology
563,1,Benthic molluscs,Temperate,Phenology
564,1,Benthic crustacea,Temperate,Abundance
565,1,Benthic crustacea,Temperate,Abundance
566,1,Bony fish,Temperate,Phenology
567,1,Bony fish,Temperate,Phenology
568,1,Bony fish,Temperate,Demography
569,1,Bony fish,Temperate,Demography
570,1,Benthic molluscs,Temperate,Community change
571,1,Benthic molluscs,Temperate,Community change
572,1,Benthic molluscs,Temperate,Community change
573,1,Seabirds,Subtropical,Phenology
574,1,Seabirds,Polar,Demography
575,1,Seabirds,Polar,Phenology
576,1,Seabirds,Polar,Phenology
577,1,Seabirds,Polar,Phenology
578,1,Seabirds,Polar,Phenology
579,1,Seabirds,Polar,Phenology
580,1,Seabirds,Polar,Phenology
581,1,Seabirds,Polar,Phenology
582,1,Seabirds,Polar,Phenology
583,1,Seabirds,Polar,Phenology
584,1,Seabirds,Subtropical,Abundance
585,1,Seabirds,Subtropical,Abundance
586,1,Seabirds,Temperate,Abundance
587,1,Seabirds,Temperate,Abundance
588,1,Seabirds,Temperate,Abundance
589,1,Seabirds,Temperate,Phenology
590,1,Seabirds,Temperate,Phenology
591,1,Seabirds,Temperate,Phenology
592,1,Seabirds,Temperate,Phenology
593,0,Seabirds,Temperate,Phenology
594,0,Seabirds,Temperate,Phenology
595,0,Seabirds,Temperate,Phenology
596,0,Seabirds,Temperate,Phenology
601,0,Seabirds,Subtropical,Phenology
602,1,Seabirds,Subtropical,Distribution
603,1,Seabirds,Subtropical,Distribution
604,1,Seabirds,Temperate,Phenology
605,1,Larval bony fish,Temperate,Phenology
606,1,Zooplankton,Temperate,Phenology
607,1,Larval bony fish,Temperate,Phenology
608,1,Phytoplankton,Temperate,Phenology
609,1,Phytoplankton,Temperate,Phenology
610,1,Phytoplankton,Temperate,Phenology
611,1,Phytoplankton,Temperate,Phenology
612,1,Zooplankton,Temperate,Phenology
613,1,Zooplankton,Temperate,Phenology
614,1,Phytoplankton,Temperate,Phenology
615,1,Phytoplankton,Temperate,Phenology
616,1,Phytoplankton,Temperate,Phenology
617,1,Phytoplankton,Temperate,Phenology
618,1,Phytoplankton,Temperate,Phenology
619,1,Zooplankton,Temperate,Phenology
620,1,Phytoplankton,Temperate,Phenology
621,1,Zooplankton,Temperate,Phenology
622,1,Zooplankton,Temperate,Phenology
623,1,Phytoplankton,Temperate,Phenology
624,1,Zooplankton,Temperate,Phenology
625,1,Phytoplankton,Temperate,Phenology
626,1,Phytoplankton,Temperate,Phenology
627,1,Phytoplankton,Temperate,Phenology
628,1,Zooplankton,Temperate,Phenology
629,1,Phytoplankton,Temperate,Phenology
630,1,Zooplankton,Temperate,Phenology
631,1,Zooplankton,Temperate,Phenology
632,1,Zooplankton,Temperate,Phenology
633,1,Zooplankton,Temperate,Phenology
634,1,Zooplankton,Temperate,Phenology
635,1,Zooplankton,Temperate,Phenology
636,1,Zooplankton,Temperate,Phenology
637,1,Zooplankton,Temperate,Phenology
638,1,Phytoplankton,Temperate,Phenology
639,1,Zooplankton,Temperate,Phenology
640,1,Zooplankton,Temperate,Phenology
641,1,Phytoplankton,Temperate,Phenology
642,1,Zooplankton,Temperate,Phenology
643,1,Zooplankton,Temperate,Phenology
644,1,Zooplankton,Temperate,Phenology
645,1,Phytoplankton,Temperate,Phenology
646,1,Zooplankton,Temperate,Phenology
647,1,Zooplankton,Temperate,Phenology
648,0,Zooplankton,Temperate,Phenology
649,0,Phytoplankton,Temperate,Phenology
650,0,Phytoplankton,Temperate,Phenology
651,0,Zooplankton,Temperate,Phenology
652,0,Zooplankton,Temperate,Phenology
653,0,Phytoplankton,Temperate,Phenology
654,0,Zooplankton,Temperate,Phenology
655,1,Seabirds,Temperate,Phenology
656,1,Zooplankton,Temperate,Abundance
657,1,Zooplankton,Temperate,Abundance
658,1,Zooplankton,Temperate,Abundance
659,1,Zooplankton,Temperate,Abundance
660,1,Zooplankton,Temperate,Abundance
661,1,Zooplankton,Temperate,Abundance
662,1,Zooplankton,Temperate,Abundance
663,1,Zooplankton,Temperate,Abundance
664,1,Zooplankton,Temperate,Abundance
665,1,Seabirds,Temperate,Abundance
666,1,Bony fish,Temperate,Abundance
667,1,Bony fish,Temperate,Abundance
668,1,Bony fish,Temperate,Abundance
669,1,Benthic crustacea,Temperate,Abundance
671,1,Bony fish,Temperate,Abundance
672,1,Seabirds,Temperate,Demography
673,1,Zooplankton,Temperate,Abundance
674,1,Zooplankton,Temperate,Abundance
675,1,Seabirds,Temperate,Phenology
676,1,Zooplankton,Temperate,Calcification
686,0,Zooplankton,Subtropical,Abundance
687,1,Seabirds,Temperate,Abundance
688,1,Seabirds,Temperate,Demography
689,1,Seabirds,Temperate,Phenology
690,1,Seabirds,Temperate,Phenology
698,1,Seabirds,Temperate,Phenology
699,0,Seabirds,Temperate,Phenology
700,0,Seabirds,Temperate,Phenology
701,0,Seabirds,Temperate,Phenology
702,0,Seabirds,Temperate,Phenology
705,0,Seabirds,Temperate,Phenology
706,0,Seabirds,Temperate,Phenology
707,1,Seabirds,Subtropical,Abundance
708,1,Seabirds,Temperate,Abundance
709,1,Seabirds,Temperate,Abundance
710,1,Seabirds,Temperate,Abundance
711,1,Seabirds,Polar,Abundance
712,1,Seabirds,Polar,Abundance
713,1,Seabirds,Temperate,Abundance
714,1,Seabirds,Polar,Abundance
715,1,Seabirds,Temperate,Abundance
717,1,Zooplankton,Temperate,Phenology
718,1,Zooplankton,Temperate,Phenology
720,1,Phytoplankton,Temperate,Abundance
721,1,Phytoplankton,Temperate,Abundance
722,1,Phytoplankton,Temperate,Abundance
723,1,Phytoplankton,Temperate,Abundance
724,1,Phytoplankton,Temperate,Abundance
725,1,Phytoplankton,Temperate,Abundance
726,1,Zooplankton,Temperate,Phenology
727,1,Seabirds,Temperate,Abundance
728,1,Seabirds,Temperate,Abundance
729,1,Seabirds,Temperate,Abundance
730,1,Zooplankton,Subtropical,Abundance
731,1,Zooplankton,Subtropical,Abundance
732,1,Zooplankton,Subtropical,Abundance
733,1,Zooplankton,Subtropical,Abundance
734,1,Zooplankton,Subtropical,Abundance
735,1,Zooplankton,Subtropical,Abundance
736,1,Zooplankton,Subtropical,Abundance
737,1,Zooplankton,Subtropical,Abundance
738,1,Zooplankton,Temperate,Distribution
739,1,Zooplankton,Temperate,Abundance
740,1,Zooplankton,Temperate,Abundance
741,1,Zooplankton,Temperate,Abundance
742,1,Larval bony fish,Temperate,Abundance
743,1,Bony fish,Temperate,Abundance
745,1,Benthic algae,Temperate,Abundance
746,1,Benthic crustacea,Temperate,Abundance
747,1,Benthic molluscs,Temperate,Abundance
748,1,Benthic molluscs,Temperate,Abundance
749,1,Bony fish,Temperate,Community change
750,1,Bony fish,Temperate,Abundance
751,1,Bony fish,Temperate,Abundance
752,1,Benthic crustacea,Temperate,Abundance
753,1,Benthic crustacea,Temperate,Abundance
754,1,Bony fish,Temperate,Abundance
755,1,Bony fish,Temperate,Abundance
756,1,Bony fish,Temperate,Abundance
757,1,Benthic crustacea,Temperate,Abundance
758,1,Benthic crustacea,Temperate,Abundance
759,1,Benthic crustacea,Temperate,Abundance
760,1,Bony fish,Temperate,Abundance
761,1,Bony fish,Temperate,Abundance
762,1,Benthic crustacea,Temperate,Abundance
763,1,Benthic molluscs,Temperate,Distribution
764,1,Benthic molluscs,Temperate,Distribution
765,1,Benthic molluscs,Temperate,Distribution
766,1,Benthic crustacea,Temperate,Distribution
767,1,Benthic molluscs,Temperate,Distribution
768,1,Benthic molluscs,Temperate,Distribution
778,0,Benthic crustacea,Temperate,Distribution
779,0,Benthic molluscs,Temperate,Distribution
780,0,Benthic crustacea,Temperate,Distribution
781,0,Benthic molluscs,Temperate,Distribution
782,0,Benthic molluscs,Temperate,Distribution
783,0,Benthic molluscs,Temperate,Distribution
784,0,Benthic molluscs,Temperate,Distribution
785,0,Benthic crustacea,Temperate,Distribution
797,1,Benthic molluscs,Subtropical,Distribution
798,1,Benthic crustacea,Subtropical,Abundance
799,1,Benthic molluscs,Subtropical,Abundance
801,1,Benthic cnidarians,Subtropical,Abundance
802,1,Benthic cnidarians,Subtropical,Abundance
803,1,Benthic molluscs,Subtropical,Abundance
804,1,Benthic molluscs,Subtropical,Abundance
805,1,Benthic molluscs,Subtropical,Abundance
806,1,Benthic molluscs,Temperate,Distribution
807,1,Benthic crustacea,Subtropical,Abundance
808,1,Benthic cnidarians,Subtropical,Abundance
809,1,Benthic cnidarians,Subtropical,Abundance
810,1,Benthic molluscs,Subtropical,Abundance
811,1,Benthic molluscs,Subtropical,Abundance
812,1,Benthic molluscs,Subtropical,Abundance
813,1,Benthic molluscs,Subtropical,Abundance
815,0,Benthic crustacea,Subtropical,Abundance
816,0,Benthic molluscs,Subtropical,Abundance
817,0,Benthic molluscs,Subtropical,Abundance
819,0,Benthic molluscs,Subtropical,Abundance
820,0,Benthic molluscs,Subtropical,Abundance
824,1,Benthic molluscs,Polar,Distribution
825,1,Benthic crustacea,Polar,Distribution
826,1,Benthic crustacea,Polar,Distribution
827,1,Bony fish,Temperate,Distribution
828,1,Bony fish,Temperate,Distribution
829,1,Bony fish,Temperate,Distribution
830,1,Bony fish,Temperate,Distribution
831,1,Bony fish,Temperate,Distribution
832,1,Bony fish,Temperate,Distribution
833,1,Bony fish,Temperate,Distribution
834,1,Bony fish,Temperate,Distribution
835,1,Bony fish,Temperate,Distribution
836,1,Bony fish,Temperate,Distribution
837,1,Bony fish,Temperate,Distribution
838,1,Bony fish,Temperate,Distribution
839,1,Bony fish,Temperate,Distribution
840,1,Bony fish,Temperate,Distribution
841,1,Bony fish,Temperate,Distribution
842,1,Bony fish,Temperate,Distribution
843,1,Bony fish,Temperate,Distribution
844,1,Bony fish,Temperate,Distribution
845,1,Bony fish,Temperate,Distribution
846,1,Bony fish,Temperate,Distribution
847,1,Bony fish,Temperate,Distribution
848,1,Non-bony fish,Temperate,Distribution
849,1,Bony fish,Temperate,Distribution
850,1,Bony fish,Temperate,Distribution
851,1,Bony fish,Temperate,Distribution
852,1,Bony fish,Temperate,Distribution
853,1,Bony fish,Temperate,Distribution
854,1,Bony fish,Temperate,Distribution
855,1,Bony fish,Temperate,Distribution
856,1,Bony fish,Temperate,Distribution
863,1,Bony fish,Temperate,Distribution
894,0,Bony fish,Temperate,Distribution
895,0,Non-bony fish,Temperate,Distribution
896,0,Bony fish,Temperate,Distribution
897,0,Bony fish,Temperate,Distribution
898,0,Bony fish,Temperate,Distribution
899,1,Zooplankton,Temperate,Abundance
900,1,Phytoplankton,Temperate,Abundance
901,1,Phytoplankton,Subtropical,Abundance
906,1,Seabirds,Temperate,Phenology
907,1,Seabirds,Temperate,Phenology
908,1,Seabirds,Temperate,Phenology
909,1,Zooplankton,Temperate,Phenology
910,1,Zooplankton,Temperate,Phenology
912,1,Zooplankton,Temperate,Distribution
913,1,Zooplankton,Temperate,Distribution
914,1,Zooplankton,Temperate,Abundance
915,1,Phytoplankton,Subtropical,Abundance
916,1,Phytoplankton,Tropical,Abundance
917,1,Phytoplankton,Polar,Abundance
918,1,Phytoplankton,Tropical,Abundance
919,1,Phytoplankton,Temperate,Abundance
920,1,Phytoplankton,Subtropical,Abundance
921,1,Phytoplankton,Subtropical,Abundance
922,0,Phytoplankton,Tropical,Abundance
923,0,Phytoplankton,Tropical,Abundance
924,1,Seabirds,Polar,Abundance
925,1,Seabirds,Temperate,Abundance
926,1,Seabirds,Temperate,Abundance
927,1,Seabirds,Temperate,Abundance
928,1,Zooplankton,Temperate,Abundance
929,1,Zooplankton,Temperate,Abundance
930,1,Zooplankton,Temperate,Phenology
931,0,Bony fish,Temperate,Abundance
932,1,Seabirds,Polar,Abundance
933,1,Seabirds,Polar,Abundance
935,1,Seabirds,Polar,Abundance
936,1,Zooplankton,Temperate,Abundance
937,1,Zooplankton,Temperate,Abundance
939,0,Zooplankton,Temperate,Abundance
940,1,Zooplankton,Temperate,Distribution
941,1,Zooplankton,Temperate,Distribution
942,1,Seabirds,Polar,Phenology
943,0,Seabirds,Polar,Phenology
944,0,Seabirds,Temperate,Abundance
945,1,Bony fish,Temperate,Distribution
946,1,Benthic crustacea,Temperate,Abundance
947,1,Benthic crustacea,Temperate,Distribution
948,1,Bony fish,Temperate,Abundance
949,1,Bony fish,Temperate,Abundance
950,1,Bony fish,Temperate,Abundance
951,1,Seabirds,Temperate,Abundance
953,1,Zooplankton,Subtropical,Abundance
954,1,Zooplankton,Subtropical,Abundance
955,1,Benthic molluscs,Polar,Demography
956,1,Benthic molluscs,Polar,Demography
959,1,Seabirds,Subtropical,Phenology
960,1,Seabirds,Subtropical,Phenology
961,1,Bony fish,Subtropical,Abundance
962,1,Zooplankton,Subtropical,Community change
963,1,Seabirds,Subtropical,Community change
964,0,Seabirds,Subtropical,Demography
965,1,Seabirds,Subtropical,Demography
966,1,Seabirds,Subtropical,Demography
967,1,Seabirds,Subtropical,Demography
968,1,Seabirds,Subtropical,Demography
969,1,Seabirds,Subtropical,Demography
970,1,Seabirds,Subtropical,Demography
971,1,Seabirds,Subtropical,Demography
972,1,Seabirds,Subtropical,Demography
973,1,Seabirds,Subtropical,Demography
974,1,Seabirds,Subtropical,Demography
975,1,Zooplankton,Tropical,Abundance
977,1,Phytoplankton,Temperate,Abundance
