Sightings,Year,Month,DayOfYr,DayFromStart
2,2007,3,72,802
0,2007,3,73,803
0,2007,3,74,804
0,2007,3,78,808
1,2007,3,81,811
2,2007,3,82,812
1,2007,3,83,813
3,2007,3,84,814
2,2007,3,85,815
1,2007,3,86,816
1,2007,3,87,817
1,2007,3,88,818
1,2007,4,91,821
1,2007,4,92,822
1,2007,4,93,823
1,2007,4,94,824
1,2007,4,95,825
1,2007,4,96,826
1,2007,4,97,827
0,2007,4,101,831
1,2007,4,102,832
4,2007,4,103,833
3,2007,4,104,834
1,2007,4,105,835
2,2007,4,106,836
2,2007,4,107,837
0,2007,4,108,838
4,2007,4,109,839
2,2007,4,110,840
0,2007,4,111,841
1,2007,4,112,842
1,2007,4,114,844
1,2007,4,115,845
1,2007,4,120,850
2,2007,5,130,860
3,2007,5,135,865
2,2007,5,136,866
1,2007,5,137,867
6,2007,5,138,868
4,2007,5,142,872
1,2007,5,143,873
2,2007,5,144,874
1,2007,5,145,875
3,2007,5,148,878
1,2007,5,149,879
1,2007,5,150,880
3,2007,6,152,882
1,2007,6,153,883
5,2007,6,156,886
2,2007,9,247,977
1,2007,9,248,978
1,2007,9,249,979
2,2007,9,250,980
3,2007,9,251,981
1,2007,9,252,982
2,2007,9,255,985
1,2007,9,256,986
2,2007,9,258,988
3,2007,9,267,997
4,2007,10,278,1008
4,2007,10,279,1009
1,2007,10,280,1010
3,2007,10,281,1011
1,2007,10,289,1019
1,2007,10,290,1020
2,2007,10,291,1021
2,2007,10,295,1025
0,2007,10,296,1026
0,2007,10,303,1033
1,2008,1,9,1104
1,2008,1,12,1107
2,2008,1,13,1108
1,2008,1,15,1110
5,2008,1,16,1111
2,2008,1,20,1115
0,2008,1,21,1116
2,2008,1,22,1117
0,2008,1,23,1118
0,2008,1,28,1123
2,2008,1,29,1124
3,2008,2,32,1127
3,2008,2,33,1128
15,2008,2,59,1154
2,2008,2,60,1155
0,2008,3,61,1157
2,2008,3,62,1158
1,2008,3,63,1159
2,2008,3,65,1161
1,2008,3,89,1185
4,2008,4,92,1188
6,2008,4,95,1191
3,2008,4,98,1194
1,2008,4,99,1195
5,2008,4,100,1196
2,2008,4,103,1199
0,2008,4,107,1203
1,2008,4,108,1204
2,2008,4,109,1205
1,2008,4,120,1216
1,2008,5,129,1225
0,2008,5,146,1242
3,2008,5,150,1246
1,2008,5,152,1248
1,2008,6,156,1252
1,2008,6,159,1255
0,2008,6,160,1256
0,2008,6,164,1260
14,2008,9,254,1350
12,2008,9,255,1351
3,2008,9,259,1355
1,2008,9,261,1357
4,2008,9,262,1358
5,2008,9,266,1362
1,2008,9,270,1366
2,2008,9,274,1370
1,2008,10,275,1371
1,2008,10,276,1372
3,2008,10,282,1378
4,2008,10,287,1383
5,2008,10,288,1384
5,2008,10,289,1385
6,2008,10,290,1386
11,2008,10,291,1387
6,2008,10,294,1390
9,2008,10,295,1391
5,2008,10,296,1392
6,2008,10,297,1393
10,2008,10,298,1394
5,2008,10,301,1397
5,2008,10,302,1398
0,2008,10,303,1399
1,2008,10,304,1400
1,2008,10,305,1401
1,2008,11,307,1403
0,2008,11,310,1406
0,2008,11,312,1408
0,2008,11,315,1411
3,2008,11,317,1413
2,2008,11,330,1426
1,2008,11,331,1427
4,2008,11,332,1428
1,2008,11,334,1430
3,2008,12,341,1437
0,2008,12,342,1438
0,2008,12,344,1440
3,2008,12,345,1441
4,2008,12,346,1442
1,2008,12,347,1443
1,2008,12,348,1444
6,2008,12,349,1445
6,2008,12,350,1446
3,2008,12,354,1450
1,2008,12,355,1451
3,2009,1,5,1466
1,2009,1,6,1467
2,2009,1,7,1468
5,2009,1,8,1469
5,2009,1,9,1470
7,2009,1,10,1471
3,2009,1,14,1475
9,2009,1,15,1476
7,2009,1,16,1477
11,2009,1,21,1482
0,2009,1,22,1483
1,2009,2,40,1501
2,2009,2,41,1502
1,2009,2,42,1503
4,2009,2,46,1507
4,2009,2,47,1508
6,2009,2,48,1509
2,2009,2,49,1510
2,2009,2,50,1511
1,2009,2,52,1513
1,2009,2,55,1516
9,2009,2,56,1517
8,2009,2,57,1518
1,2009,2,58,1519
1,2009,3,63,1524
0,2009,3,70,1531
1,2009,3,71,1532
2,2009,3,72,1533
1,2009,3,75,1536
3,2009,3,76,1537
1,2009,3,78,1539
2,2009,3,79,1540
3,2009,3,82,1543
1,2009,3,83,1544
3,2009,3,85,1546
4,2009,3,90,1551
2,2009,4,91,1552
3,2009,4,92,1553
4,2009,4,100,1561
1,2009,4,102,1563
2,2009,4,103,1564
2,2009,4,104,1565
0,2009,4,105,1566
2,2009,4,110,1571
2,2009,4,113,1574
2,2009,4,117,1578
5,2009,4,118,1579
3,2009,4,119,1580
4,2009,4,120,1581
5,2009,5,121,1582
2,2009,5,129,1590
0,2009,5,130,1591
1,2009,5,132,1593
0,2009,5,133,1594
1,2009,5,134,1595
6,2009,5,139,1600
3,2009,5,145,1606
2,2009,5,146,1607
1,2009,5,147,1608
7,2009,5,148,1609
6,2009,5,149,1610
2,2009,6,152,1613
4,2009,6,153,1614
2,2009,6,154,1615
1,2009,6,159,1620
3,2009,6,163,1624
5,2009,6,167,1628
0,2009,6,168,1629
3,2009,6,169,1630
6,2009,6,174,1635
6,2009,6,175,1636
0,2009,6,176,1637
1,2009,7,187,1648
4,2009,7,188,1649
2,2009,7,190,1651
1,2009,7,194,1655
1,2009,7,196,1657
1,2009,7,202,1663
0,2009,7,203,1664
0,2009,7,204,1665
0,2009,7,210,1671
0,2009,8,222,1683
0,2009,8,223,1684
1,2009,8,224,1685
0,2009,8,226,1687
0,2009,8,231,1692
1,2009,8,232,1693
2,2009,8,233,1694
2,2009,8,235,1696
0,2009,8,237,1698
1,2009,8,238,1699
0,2009,8,239,1700
1,2009,8,241,1702
1,2009,8,243,1704
0,2009,9,244,1705
3,2009,9,245,1706
3,2009,9,246,1707
2,2009,9,249,1710
6,2009,9,250,1711
4,2009,9,251,1712
9,2009,9,252,1713
9,2009,9,253,1714
6,2009,9,254,1715
3,2009,9,257,1718
4,2009,9,258,1719
1,2009,9,259,1720
2,2009,9,260,1721
0,2009,9,261,1722
0,2009,9,264,1725
1,2009,9,265,1726
0,2009,9,266,1727
3,2009,9,270,1731
4,2009,9,271,1732
5,2009,10,282,1743
11,2009,10,286,1747
4,2009,10,287,1748
6,2009,10,288,1749
5,2009,10,289,1750
6,2009,10,293,1754
1,2009,10,294,1755
6,2009,10,295,1756
1,2009,10,296,1757
4,2009,10,299,1760
5,2009,10,300,1761
4,2009,10,301,1762
1,2009,10,302,1763
0,2009,11,308,1769
0,2009,11,309,1770
0,2009,11,311,1772
2,2009,11,313,1774
1,2009,11,314,1775
5,2009,11,315,1776
5,2009,11,316,1777
1,2009,11,317,1778
0,2009,11,318,1779
0,2009,11,319,1780
2,2009,11,322,1783
0,2009,11,327,1788
1,2009,11,328,1789
0,2009,11,330,1791
0,2009,11,331,1792
0,2009,12,336,1797
0,2009,12,337,1798
0,2009,12,338,1799
0,2009,12,344,1805
0,2009,12,351,1812
1,2009,12,352,1813
1,2009,12,353,1814
0,2009,12,354,1815
1,2009,12,355,1816
0,2009,12,356,1817
0,2009,12,357,1818
0,2009,12,360,1821
0,2009,12,362,1823
1,2009,12,363,1824
0,2009,12,363,1824
1,2009,12,364,1825
0,2010,1,2,1828
0,2010,1,3,1829
1,2010,1,5,1831
0,2010,1,6,1832
1,2010,1,7,1833
0,2010,1,11,1837
1,2010,1,13,1839
0,2010,1,14,1840
0,2010,1,15,1841
1,2010,1,16,1842
1,2010,1,17,1843
3,2010,1,18,1844
11,2010,1,19,1845
0,2010,1,20,1846
6,2010,1,21,1847
6,2010,1,22,1848
11,2010,1,25,1851
2,2010,1,26,1852
2,2010,1,27,1853
25,2010,1,28,1854
1,2010,1,29,1855
4,2010,1,31,1857
1,2010,2,34,1860
0,2010,2,35,1861
6,2010,2,36,1862
5,2010,2,37,1863
6,2010,2,39,1865
4,2010,2,40,1866
2,2010,2,41,1867
1,2010,2,42,1868
3,2010,2,43,1869
3,2010,2,44,1870
0,2010,2,46,1872
0,2010,2,47,1873
0,2010,2,48,1874
9,2010,2,49,1875
25,2010,2,51,1877
5,2010,2,54,1880
3,2010,2,55,1881
1,2010,2,56,1882
1,2010,3,62,1888
5,2010,3,64,1890
8,2010,3,69,1895
1,2010,3,71,1897
0,2010,3,73,1899
1,2010,3,75,1901
3,2010,3,76,1902
0,2010,3,78,1904
0,2010,3,81,1907
0,2010,3,82,1908
0,2010,3,83,1909
1,2010,3,84,1910
3,2010,3,90,1916
1,2010,4,96,1922
4,2010,4,98,1924
4,2010,4,99,1925
2,2010,4,105,1931
2,2010,4,109,1935
1,2010,4,110,1936
0,2010,4,117,1943
0,2010,4,118,1944
0,2010,4,119,1945
1,2010,5,127,1953
0,2010,5,130,1956
0,2010,5,132,1958
0,2010,5,139,1965
0,2010,5,140,1966
1,2010,5,146,1972
1,2010,5,147,1973
2,2010,5,148,1974
0,2010,5,151,1977
0,2010,6,157,1983
0,2010,6,158,1984
1,2010,6,160,1986
2,2010,6,161,1987
2,2010,6,169,1995
0,2010,6,172,1998
0,2010,6,173,1999
0,2010,6,174,2000
1,2010,6,175,2001
1,2010,6,181,2007
1,2010,7,182,2008
1,2010,7,187,2013
5,2010,7,193,2019
0,2010,7,196,2022
1,2010,7,197,2023
1,2010,7,202,2028
0,2010,7,205,2031
0,2010,7,206,2032
1,2010,7,207,2033
2,2010,7,208,2034
3,2010,7,209,2035
4,2010,7,210,2036
1,2010,8,213,2039
1,2010,8,215,2041
1,2010,8,216,2042
2,2010,8,218,2044
3,2010,8,219,2045
1,2010,8,233,2059
1,2010,8,235,2061
2,2010,8,238,2064
2,2010,8,240,2066
1,2010,8,241,2067
1,2010,9,247,2073
0,2010,9,250,2076
0,2010,9,252,2078
2,2010,9,257,2083
0,2010,9,259,2085
1,2010,9,261,2087
0,2010,9,263,2089
0,2010,9,264,2090
4,2010,9,266,2092
1,2010,9,267,2093
3,2010,9,268,2094
3,2010,9,269,2095
5,2010,9,270,2096
5,2010,9,273,2099
9,2010,10,274,2100
2,2010,10,277,2103
0,2010,10,278,2104
1,2010,10,279,2105
2,2010,10,282,2108
3,2010,10,285,2111
3,2010,10,286,2112
3,2010,10,288,2114
2,2010,10,291,2117
0,2010,10,293,2119
5,2010,10,294,2120
4,2010,10,295,2121
2,2010,10,296,2122
0,2010,10,300,2126
0,2010,10,301,2127
0,2010,10,302,2128
1,2010,10,303,2129
0,2010,10,304,2130
2,2010,11,305,2131
0,2010,11,306,2132
2,2010,11,307,2133
0,2010,11,308,2134
1,2010,11,309,2135
0,2010,11,310,2136
1,2010,11,312,2138
1,2010,11,313,2139
0,2010,11,314,2140
4,2010,11,315,2141
5,2010,11,317,2143
0,2010,11,318,2144
2,2010,11,320,2146
1,2010,11,320,2146
2,2010,11,320,2146
0,2010,11,321,2147
0,2010,11,322,2148
0,2010,11,323,2149
0,2010,11,324,2150
3,2010,11,326,2152
3,2010,11,327,2153
1,2010,11,328,2154
0,2010,11,329,2155
2,2010,11,330,2156
0,2010,11,331,2157
0,2010,11,333,2159
0,2010,12,335,2161
0,2010,12,336,2162
0,2010,12,337,2163
0,2010,12,341,2167
0,2010,12,342,2168
0,2010,12,343,2169
1,2010,12,344,2170
2,2010,12,345,2171
1,2010,12,346,2172
1,2010,12,347,2173
0,2010,12,348,2174
0,2010,12,349,2175
2,2010,12,356,2182
2,2010,12,361,2187
1,2010,12,362,2188
0,2011,1,7,2198
1,2011,1,8,2199
0,2011,1,9,2200
0,2011,1,10,2201
0,2011,1,12,2203
0,2011,1,13,2204
0,2011,1,14,2205
0,2011,1,15,2206
0,2011,1,17,2208
0,2011,1,18,2209
0,2011,1,19,2210
1,2011,1,20,2211
0,2011,1,21,2212
0,2011,1,23,2214
0,2011,1,24,2215
0,2011,1,25,2216
3,2011,1,26,2217
0,2011,1,27,2218
0,2011,1,30,2221
2,2011,1,31,2222
0,2011,2,32,2223
1,2011,2,33,2224
2,2011,2,40,2231
0,2011,2,41,2232
0,2011,2,52,2243
0,2011,2,55,2246
2,2011,2,56,2247
1,2011,2,57,2248
6,2011,2,59,2250
0,2011,3,61,2252
0,2011,3,62,2253
1,2011,3,63,2254
0,2011,3,64,2255
1,2011,3,65,2256
0,2011,3,66,2257
0,2011,3,67,2258
0,2011,3,68,2259
1,2011,3,69,2260
1,2011,3,70,2261
2,2011,3,71,2262
0,2011,3,72,2263
0,2011,3,73,2264
0,2011,3,74,2265
0,2011,3,75,2266
0,2011,3,76,2267
0,2011,3,77,2268
1,2011,3,79,2270
0,2011,3,80,2271
0,2011,3,81,2272
0,2011,3,82,2273
0,2011,3,83,2274
2,2011,3,84,2275
1,2011,3,85,2276
1,2011,3,87,2278
1,2011,3,88,2279
2,2011,3,89,2280
1,2011,3,90,2281
1,2011,4,91,2282
0,2011,4,92,2283
1,2011,4,93,2284
1,2011,4,93,2284
0,2011,4,96,2287
1,2011,4,97,2288
0,2011,4,97,2288
